date,description,category,amount,day_of_week,is_weekend,month,year,label,source
2020-04-11,Stop & Shop,Kebutuhan Dapur,186880,5,1,4,2020,0,dataset_1
2020-04-11,Apple,Elektronik,148640,5,1,4,2020,0,dataset_1
2020-04-11,Liquor Junction,Makanan & Minuman,1037599,5,1,4,2020,0,dataset_1
2018-03-21,Lonestar Taqueria,Makanan & Minuman,226560,2,0,3,2018,0,dataset_1
2018-03-20,Fresh Market,Kebutuhan Dapur,82400,1,0,3,2018,0,dataset_1
2017-06-26,Painted Burro,Makanan & Minuman,564960,0,0,6,2017,0,dataset_1
2017-06-26,Bfresh,Kebutuhan Dapur,173120,0,0,6,2017,0,dataset_1
2017-06-25,Mystic Coffee Roaster,Kopi & Minuman,90880,6,1,6,2017,1,dataset_1
2017-06-25,Chicken Rice,Makanan & Minuman,160000,6,1,6,2017,0,dataset_1
2017-06-24,Orleans Restaurant,Makanan & Minuman,136960,5,1,6,2017,1,dataset_1
2017-06-24,Home Depot,Kebutuhan Rumah Tangga,184320,5,1,6,2017,0,dataset_1
2017-06-24,Armsby Abbey,Makanan & Minuman,389440,5,1,6,2017,0,dataset_1
2020-04-10,T-Mobile,Tagihan Utilitas,2728800,4,0,4,2020,0,dataset_1
2020-04-09,Apple,Elektronik,155520,3,0,4,2020,0,dataset_1
2020-04-09,DRG*LOGITECH STORE,Elektronik,118880,3,0,4,2020,0,dataset_1
2020-04-07,Boston Globe,Langganan Digital,443520,1,0,4,2020,0,dataset_1
2020-04-07,Gulf,Transportasi,501600,1,0,4,2020,0,dataset_1
2020-04-06,TRYCAVIAR.COM CRAIGIE,Makanan & Minuman,1232640,0,0,4,2020,0,dataset_1
2020-04-03,SPLITWISE,Perjalanan,47840,4,0,4,2020,0,dataset_1
2020-04-03,TST* SEMOLINA KITCHEN & B,Makanan & Minuman,962400,4,0,4,2020,0,dataset_1
2020-04-03,Amazon web services,Elektronik,3200,4,0,4,2020,0,dataset_1
2020-04-03,Medford MA Utility ~ Tran: ACHDW,Tagihan Utilitas,794880,4,0,4,2020,0,dataset_1
2020-04-02,Apple,Elektronik,84800,3,0,4,2020,0,dataset_1
2020-04-02,PATREON MEMBERSHIP,Hiburan & Gaya Hidup,48000,3,0,4,2020,0,dataset_1
2020-04-02,DAVE S FRESH PASTA,Makanan & Minuman,1397280,3,0,4,2020,0,dataset_1
2020-04-02,Verizon,Lainnya,879840,3,0,4,2020,0,dataset_1
2020-04-01,SUB*WASHPOST*004108106,Langganan Digital,159840,2,0,4,2020,0,dataset_1
2020-04-01,E-ZPass,Transportasi,160000,2,0,4,2020,0,dataset_1
2020-03-30,Exxon,Transportasi,241600,0,0,3,2020,0,dataset_1
2020-03-30,SODASTREAM USA INC,Kebutuhan Dapur,815520,0,0,3,2020,0,dataset_1
2020-03-29,Exxon,Transportasi,444960,6,1,3,2020,0,dataset_1
2020-03-29,"Chewy, Inc.",Kebutuhan Rumah Tangga,1733600,6,1,3,2020,0,dataset_1
2020-03-27,Atlas Liquors Inc,Makanan & Minuman,2328960,4,0,3,2020,0,dataset_1
2020-03-26,HOGAN TIRE - 01 WOBURN,Lainnya,704000,3,0,3,2020,0,dataset_1
2020-03-25,Audible.com,Pendidikan,239200,2,0,3,2020,0,dataset_1
2020-03-24,Netflix,Hiburan & Gaya Hidup,255840,1,0,3,2020,0,dataset_1
2020-03-24,Healthy Paws Pet Center,Lainnya,1813760,1,0,3,2020,0,dataset_1
2020-03-24,National Grid,Tagihan Utilitas,1155040,1,0,3,2020,0,dataset_1
2020-03-23,IPHONE CITIZ*payment 7 OF 24,Tagihan Utilitas,598560,0,0,3,2020,0,dataset_1
2020-03-23,FULLY INC,Kebutuhan Rumah Tangga,1683040,0,0,3,2020,0,dataset_1
2020-03-22,SOMERVILLEMA PARKTICKET,Transportasi,480000,6,1,3,2020,0,dataset_1
2020-03-20,Amazon,Belanja & Lifestyle,1316800,4,0,3,2020,0,dataset_1
2020-03-19,Sav MOR,Kesehatan,1044000,3,0,3,2020,0,dataset_1
2020-03-17,Pet Pocketbook Inc.,Kebutuhan Rumah Tangga,864000,1,0,3,2020,0,dataset_1
2020-03-17,Disney,Perjalanan,112000,1,0,3,2020,0,dataset_1
2020-03-17,NYTIMES,Langganan Digital,240000,1,0,3,2020,0,dataset_1
2020-03-16,E-ZPass,Transportasi,160000,0,0,3,2020,0,dataset_1
2020-03-16,SWEETMARIAS,Kebutuhan Dapur,831200,0,0,3,2020,0,dataset_1
2020-03-16,Apple,Elektronik,47840,0,0,3,2020,0,dataset_1
2020-03-15,MEDFORD MA COLLECTOR,Makanan & Minuman,1011840,6,1,3,2020,0,dataset_1
2020-03-15,City Hall Systems Inc,Lainnya,29920,6,1,3,2020,0,dataset_1
2020-03-15,Apple,Elektronik,84800,6,1,3,2020,0,dataset_1
2020-03-15,RMV E-SERVICES,Makanan & Minuman,960000,6,1,3,2020,0,dataset_1
2020-03-15,Speedway,Transportasi,502880,6,1,3,2020,0,dataset_1
2020-03-15,Hulu,Hiburan & Gaya Hidup,191840,6,1,3,2020,0,dataset_1
2020-03-15,USPS,Lainnya,153600,6,1,3,2020,0,dataset_1
2020-03-15,Amazon Music,Hiburan & Gaya Hidup,127840,6,1,3,2020,0,dataset_1
2020-03-13,Liquor Junction,Makanan & Minuman,1366240,4,0,3,2020,0,dataset_1
2020-03-11,PAS*PARK BOSTON,Transportasi,126400,2,0,3,2020,0,dataset_1
2020-03-11,Backcountry,Lainnya,985120,2,0,3,2020,0,dataset_1
2020-03-11,Uber Eats,Makanan & Minuman,1098880,2,0,3,2020,0,dataset_1
2020-03-11,TST* SEMOLINA KITCHEN & B,Makanan & Minuman,1150720,2,0,3,2020,0,dataset_1
2020-03-10,T-Mobile,Tagihan Utilitas,2728800,1,0,3,2020,0,dataset_1
2020-03-10,Boston Globe,Langganan Digital,443520,1,0,3,2020,0,dataset_1
2020-03-10,Pet Pocketbook Inc.,Kebutuhan Rumah Tangga,864000,1,0,3,2020,0,dataset_1
2020-03-09,TAMPER,Kopi & Minuman,43200,0,0,3,2020,0,dataset_1
2020-03-09,Mystic Coffee Roaster LLC,Kopi & Minuman,85440,0,0,3,2020,0,dataset_1
2020-03-09,NIGHT SHIFT EATS,Makanan & Minuman,576000,0,0,3,2020,0,dataset_1
2020-03-09,NIGHT SHIFT BREWING TA,Makanan & Minuman,204000,0,0,3,2020,0,dataset_1
2020-03-09,DRG*LOGITECH STORE,Elektronik,118880,0,0,3,2020,0,dataset_1
2020-03-09,"LOOKOUT HARD CIDER, L",Makanan & Minuman,894080,0,0,3,2020,0,dataset_1
2020-03-09,TENOCH MEDFORD,Makanan & Minuman,127360,0,0,3,2020,0,dataset_1
2020-03-08,Liquor Junction,Makanan & Minuman,575680,6,1,3,2020,0,dataset_1
2020-03-08,Chick-Fil-A,Makanan & Minuman,148800,6,1,3,2020,1,dataset_1
2020-03-06,Highland Kitchen,Makanan & Minuman,1200320,4,0,3,2020,0,dataset_1
2020-03-05,Amazon,Belanja & Lifestyle,1094560,3,0,3,2020,0,dataset_1
2020-03-05,TRADEINNRET,Belanja & Lifestyle,2292960,3,0,3,2020,0,dataset_1
2020-03-04,SUB*WASHPOST*004108106,Langganan Digital,159840,2,0,3,2020,0,dataset_1
2020-03-04,JetBlue,Perjalanan,1139200,2,0,3,2020,0,dataset_1
2020-03-04,Speedway,Transportasi,519360,2,0,3,2020,0,dataset_1
2020-03-03,Amazon web services,Elektronik,3040,1,0,3,2020,0,dataset_1
2020-03-03,Pet Pocketbook Inc.,Kebutuhan Rumah Tangga,864000,1,0,3,2020,0,dataset_1
2020-03-03,TST* BRONWYN,Makanan & Minuman,964640,1,0,3,2020,0,dataset_1
2020-03-03,Verizon,Lainnya,879840,1,0,3,2020,0,dataset_1
2020-03-02,Urban Markets LLC,Kebutuhan Dapur,175680,0,0,3,2020,0,dataset_1
2020-03-02,WestJet,Perjalanan,376800,0,0,3,2020,0,dataset_1
2020-03-02,CKO*Patreon* Membership,Lainnya,96000,0,0,3,2020,0,dataset_1
2020-03-02,Whole Foods,Kebutuhan Dapur,1531040,0,0,3,2020,0,dataset_1
2020-03-01,BLUEBIRD CAFE,Makanan & Minuman,200800,6,1,3,2020,0,dataset_1
2020-03-01,TWO HOUSE BREWERY,Makanan & Minuman,100480,6,1,3,2020,0,dataset_1
2020-03-01,BLUEBIRD CAFE,Makanan & Minuman,52640,6,1,3,2020,0,dataset_1
2020-03-01,Prestige,Lainnya,208800,6,1,3,2020,0,dataset_1
2020-02-28,WHITETOOTH BREWING,Makanan & Minuman,403840,4,0,2,2020,0,dataset_1
2020-02-27,LA BAGUETTE CATERING,Makanan & Minuman,300160,3,0,2,2020,0,dataset_1
2020-02-26,CHUBBY FUNSTERS,Makanan & Minuman,1059040,2,0,2,2020,0,dataset_1
2020-02-26,The Villa,Kecantikan & Perawatan,971200,2,0,2,2020,0,dataset_1
2020-02-26,LAKE LOUISE INN,Perjalanan,129440,2,0,2,2020,0,dataset_1
2020-02-26,Apple,Elektronik,63840,2,0,2,2020,0,dataset_1
2020-02-26,LA BAGUETTE CATERING,Makanan & Minuman,32640,2,0,2,2020,0,dataset_1
2020-02-26,LA BAGUETTE CATERING,Makanan & Minuman,232320,2,0,2,2020,0,dataset_1
2020-02-25,Pet Pocketbook Inc.,Kebutuhan Rumah Tangga,864000,1,0,2,2020,0,dataset_1
2020-02-25,SKOOKUM CYCLE &SKI,Lainnya,135360,1,0,2,2020,0,dataset_1
2020-02-25,E-ZPass,Transportasi,160000,1,0,2,2020,0,dataset_1
2020-02-25,BLUEBIRD CAFE,Makanan & Minuman,129919,1,0,2,2020,0,dataset_1
2020-02-25,LA BAGUETTE CATERING,Makanan & Minuman,94240,1,0,2,2020,0,dataset_1
2020-02-25,IGA,Kebutuhan Dapur,189600,1,0,2,2020,0,dataset_1
2020-02-25,HI-LAKE LOUISE,Makanan & Minuman,1630080,1,0,2,2020,0,dataset_1
2020-02-25,LA BAGUETTE CATERING,Makanan & Minuman,543360,1,0,2,2020,0,dataset_1
2020-02-25,Audible.com,Pendidikan,239200,1,0,2,2020,0,dataset_1
2020-02-24,RIC'S LOUNGE AND GRILL N.,Makanan & Minuman,502720,0,0,2,2020,0,dataset_1
2020-02-24,Healthy Paws Pet Center,Lainnya,1333760,0,0,2,2020,0,dataset_1
2020-02-24,Loyal Nine,Kopi & Minuman,445120,0,0,2,2020,0,dataset_1
2020-02-24,CHEWY.COM,Kebutuhan Rumah Tangga,883840,0,0,2,2020,0,dataset_1
2020-02-24,Netflix,Hiburan & Gaya Hidup,255840,0,0,2,2020,0,dataset_1
2020-02-24,National Grid,Tagihan Utilitas,1537920,0,0,2,2020,0,dataset_1
2020-02-23,Liquor Junction,Makanan & Minuman,709920,6,1,2,2020,0,dataset_1
2020-02-23,Vino Volo,Lainnya,75360,6,1,2,2020,0,dataset_1
2020-02-23,PAS*CAMBRIDG PARKING,Transportasi,28000,6,1,2,2020,1,dataset_1
2020-02-23,DINER IN THE PARK,Makanan & Minuman,111360,6,1,2,2020,1,dataset_1
2020-02-23,FIONN MACCOOL'S 3323,Makanan & Minuman,278720,6,1,2,2020,0,dataset_1
